fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220929 035054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	292	TRUE	954011	0.0204095834850865	0.39923166485629	1745	354	11102	26520000	49
20220929 035135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	209	TRUE	954011	0.0522178397695045	0.234348605299377	2038	440	7000	25760000	50
20220929 035227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	954011	0.0324241395667174	0.340259299401769	1884	945	10369	26870000	51
20220929 035305	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	954011	0.110682316315634	0.999095159272819	383	747	5125	23750000	52
20220929 035346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	954011	0.0540887723513142	0.461948830736787	2364	177	10651	26300000	53
20220929 035422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133	TRUE	954011	0.0466788564312968	0.323723821658696	2286	291	9782	27080000	54
20220929 035548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	472	TRUE	954011	0.0322684772867623	0.34855920193513	2006	726	9084	26880000	55
20220929 035745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	954011	0.0144016652222436	0.903141305592867	1447	726	10242	25840000	56
20220929 035824	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	954011	0.0488650585699473	0.299504205322479	2124	423	10201	26720000	57
20220929 035916	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	954011	0.0518880590932045	0.376848274723161	2276	995	8899	27490000	58
20220929 040501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1475	TRUE	954011	0.00520374463613016	0.451317360957668	1666	852	9060	26840000	59
20220929 040828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1152	TRUE	954011	0.00926017889191156	0.239621613269277	1864	875	10252	27340000	60
20220929 040950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	268	TRUE	954011	0.0208251965883716	0.738712226595855	873	437	6727	26150000	61
20220929 041143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	461	TRUE	954011	0.0135480791664877	0.253290380730646	1397	824	9827	26750000	62
20220929 041217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	954011	0.0470592566008813	0.749606414021196	2240	1021	6051	25500000	63
20220929 041520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	945	TRUE	954011	0.00782971885218559	0.521167532865035	1737	17	9124	26960000	64
20220929 041815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	973	TRUE	954011	0.00886293518292134	0.23772620555372	1890	58	11998	26090000	65
20220929 041914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	954011	0.0270291640699219	0.632856104795809	2044	163	8293	26780000	66
20220929 042008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	954011	0.0436092783368846	0.553393563472851	1896	583	7952	26340000	67
20220929 042106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282	TRUE	954011	0.0569405626225561	0.367425921647495	2213	138	8214	27180000	68
20220929 042507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1200	TRUE	954011	0.00689055842673406	0.626344952943776	1430	509	8868	27070000	69
20220929 042630	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	267	TRUE	954011	0.0399935388464186	0.823174958227044	454	734	10203	26400000	70
20220929 042705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	250	TRUE	954011	0.134137905652856	0.898904301809295	4218	213	8485	26550000	71
20220929 042716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	954011	0.15582618471557	0.963227810557165	3856	782	8681	25280000	72
20220929 042738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	954011	0.145098062542746	0.858528385943433	4978	70	10003	25600000	73
20220929 042900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	375	TRUE	954011	0.0171728406386547	0.272281094912648	2232	1023	9742	27320000	74
20220929 042921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	954011	0.120186609515224	0.999509118937922	4537	84	9207	26470000	75
